HouseholdID,SurveyYear,TWSWeek,HHIncome2002_B02ID,HHIncOrig_B01ID,HHoldCountry_B01ID,HHoldNumAdults,HHoldNumChildren,NumVehicles,StationKmTRACC,WalkRailAlt_B01ID,HRPWorkStat_B02ID,HRPSEGWorkStat_B01ID,BusStandard_B01ID,Total_people,Income_per_person,Income_dollars
2002001263,2002,9,1.0,1,1,2,1,0.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002001276,2002,9,1.0,1,1,2,2,1.0,-10.0,-9,2,1,1,4,6250.0,25000.0
2002001281,2002,8,1.0,1,1,2,6,0.0,-10.0,-9,1,4,1,8,3125.0,25000.0
2002001298,2002,10,1.0,1,1,3,1,1.0,-10.0,-9,1,4,-8,4,6250.0,25000.0
2002001315,2002,8,1.0,1,1,2,2,0.0,-10.0,-9,4,4,1,4,6250.0,25000.0
2002001323,2002,9,1.0,1,1,2,3,1.0,-10.0,-9,4,6,1,5,5000.0,25000.0
2002001332,2002,8,1.0,1,1,2,1,0.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002001343,2002,7,1.0,1,1,2,3,0.0,-10.0,-9,1,4,1,5,5000.0,25000.0
2002001349,2002,8,1.0,3,1,2,2,1.0,-10.0,-9,1,4,1,4,6250.0,25000.0
2002001352,2002,9,1.0,1,1,2,2,0.0,-10.0,-9,1,4,1,4,6250.0,25000.0
2002001356,2002,9,1.0,3,1,2,1,3.0,-10.0,-9,1,4,1,3,8333.333333333334,25000.0
2002001357,2002,10,1.0,3,1,2,2,2.0,-10.0,-9,1,2,1,4,6250.0,25000.0
2002001360,2002,9,1.0,3,1,1,2,0.0,-10.0,1,4,6,1,3,8333.333333333334,25000.0
2002001362,2002,7,1.0,1,1,3,0,0.0,-10.0,1,1,4,1,3,8333.333333333334,25000.0
2002001372,2002,11,1.0,1,2,2,3,2.0,-10.0,-9,3,5,1,5,5000.0,25000.0
2002001385,2002,8,1.0,3,2,1,2,1.0,-10.0,-9,4,6,2,3,8333.333333333334,25000.0
2002001390,2002,9,1.0,1,2,2,2,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002001391,2002,11,1.0,1,2,2,1,2.0,-10.0,-9,2,2,1,3,8333.333333333334,25000.0
2002001417,2002,9,1.0,1,3,2,1,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002001421,2002,10,1.0,1,3,3,0,1.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002001424,2002,10,1.0,1,3,2,2,2.0,-10.0,-9,1,4,2,4,6250.0,25000.0
2002001426,2002,7,1.0,1,3,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002001428,2002,10,1.0,1,3,3,2,1.0,-10.0,-9,1,3,1,5,5000.0,25000.0
2002001432,2002,9,1.0,1,3,2,2,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002001434,2002,9,1.0,1,3,3,0,1.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002001452,2002,8,1.0,3,3,4,0,1.0,-10.0,-9,3,5,1,4,6250.0,25000.0
2002001462,2002,8,1.0,3,3,1,3,0.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002001464,2002,9,1.0,1,3,2,1,1.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002001466,2002,9,1.0,1,3,3,2,0.0,-10.0,-9,1,3,1,5,5000.0,25000.0
2002001469,2002,10,1.0,1,3,2,2,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
